"TIME","K.kg/m^3"
2020-12-04 15:17:00,39.1
2020-12-04 16:17:00,39.1
2020-12-04 17:17:00,39.1
2020-12-04 18:17:00,39.1
2020-12-04 19:17:00,39.1
2020-12-04 20:17:00,39.1
2020-12-04 21:17:00,39.1
2020-12-04 22:17:00,39.1
2020-12-04 23:17:00,39.1
2020-12-05 00:17:00,39.1
2020-12-05 01:17:00,39.1
2020-12-05 02:17:00,39.1
2020-12-05 04:47:00,39.1
2020-12-05 05:47:00,39.1
2020-12-05 06:47:00,39.1
2020-12-05 07:47:00,39.1
2020-12-05 08:47:00,39.1
2020-12-05 09:47:00,39.1
2020-12-05 11:04:00,39.1
2020-12-05 12:04:00,39.1
2020-12-05 13:04:00,39.1
2020-12-05 14:04:00,39.1
2020-12-05 15:04:00,39.1
2020-12-05 16:04:00,39.1
2020-12-05 17:04:00,39.1
2020-12-05 18:04:00,39.1
2020-12-05 19:04:00,39.1
2020-12-05 20:04:00,39.1
2020-12-05 21:04:00,39.1
2020-12-05 22:04:00,39.1
2020-12-05 23:47:00,39.1
2020-12-06 00:47:00,39.1
2020-12-06 01:47:00,39.1
2020-12-06 02:47:00,39.1
2020-12-06 03:47:00,39.1
2020-12-06 04:47:00,39.1
2020-12-06 05:47:00,39.1
2020-12-06 06:47:00,39.1
2020-12-06 07:47:00,39.1
2020-12-06 08:47:00,39.1
2020-12-06 09:47:00,39.1
2020-12-06 10:47:00,39.1
2020-12-06 11:47:00,39.1
2020-12-06 12:47:00,39.1
2020-12-06 13:47:00,39.1
2020-12-06 14:47:00,39.1
2020-12-06 15:47:00,39.1
2020-12-06 16:47:00,39.1
2020-12-06 17:47:00,39.1
2020-12-06 18:47:00,39.1
2020-12-06 19:47:00,39.1
2020-12-06 20:47:00,39.1
2020-12-06 21:47:00,39.1
2020-12-06 23:41:00,39.1
2020-12-07 00:41:00,39.1
2020-12-07 01:41:00,5.88
2020-12-07 02:41:00,14.9
2020-12-07 03:41:00,35.8
2020-12-07 04:41:00,32.7
2020-12-07 05:41:00,6.23
2020-12-07 06:41:00,7.5
2020-12-07 07:41:00,6.59
2020-12-07 08:41:00,4.02
2020-12-07 09:41:00,1.97
2020-12-07 10:41:00,3.01
2020-12-07 11:41:00,2.13
2020-12-07 12:41:00,39.1
2020-12-07 13:41:00,0.11
2020-12-07 14:41:00,0.113
2020-12-07 15:41:00,0.114
2020-12-07 16:41:00,0.108
2020-12-07 17:41:00,0.0977
2020-12-07 18:41:00,0.0976
2020-12-07 19:41:00,0.0974
2020-12-07 20:41:00,0.0973
2020-12-07 21:41:00,0.0971
2020-12-07 22:41:00,0.0969
2020-12-07 23:41:00,0.0967
2020-12-08 00:41:00,0.0964
2020-12-08 01:41:00,0.0961
2020-12-08 03:20:00,0.0946
2020-12-08 04:20:00,0.0945
2020-12-08 05:20:00,0.0943
2020-12-08 06:20:00,0.0941
2020-12-08 07:20:00,0.0941
2020-12-08 09:00:00,0.0928
2020-12-08 10:00:00,0.0928
2020-12-08 11:00:00,0.0958
2020-12-08 12:00:00,0.0953
2020-12-08 13:00:00,0.0955
2020-12-08 14:00:00,0.0952
2020-12-08 15:00:00,0.0956
2020-12-08 16:00:00,0.0959
2020-12-08 17:00:00,0.0955
2020-12-08 18:00:00,0.0958
2020-12-08 19:00:00,0.0959
2020-12-08 20:00:00,0.0958
2020-12-08 21:00:00,0.0957
2020-12-08 22:00:00,0.0954
2020-12-08 23:00:00,0.0954
2020-12-09 00:00:00,0.0954
2020-12-09 01:00:00,0.0945
2020-12-09 02:00:00,0.0948
2020-12-09 03:00:00,0.0943
2020-12-09 04:00:00,0.0947
2020-12-09 05:00:00,0.0943
2020-12-09 06:00:00,0.0945
2020-12-09 07:00:00,0.0944
2020-12-09 08:00:00,0.0943
2021-02-01 00:38:00,0.121672
2021-02-01 01:38:00,0.121761
2021-02-01 02:38:00,0.12189
2021-02-01 03:38:00,0.122038
2021-02-01 04:38:00,0.122139
2021-02-01 05:38:00,0.122385
2021-02-01 06:38:00,0.122316
2021-02-01 07:38:00,0.12246
2021-02-01 08:38:00,0.122164
2021-02-01 09:38:00,0.120818
2021-02-01 10:38:00,0.121208
2021-02-01 11:38:00,0.120612
2021-02-01 12:38:00,0.120168
2021-02-01 13:38:00,0.118556
2021-02-01 14:38:00,0.119353
2021-02-01 15:38:00,0.119288
2021-02-01 16:38:00,0.119653
2021-02-01 17:38:00,0.119856
2021-02-01 18:38:00,0.120225
2021-02-01 19:38:00,0.119975
2021-02-01 20:38:00,0.119849
2021-02-01 21:38:00,0.120227
2021-02-01 22:38:00,0.120361
2021-02-01 23:38:00,0.120538
2021-02-02 00:38:00,0.120708
2021-02-02 01:38:00,0.120748
2021-02-02 02:38:00,0.120848
2021-02-02 03:38:00,0.12108
