"TIME","Oxy.kg/m^3"
2020-12-11 12:42:00,0.00571
2020-12-11 15:07:00,0.00573
2020-12-11 16:07:00,0.00564
2020-12-11 17:07:00,0.00443
2020-12-11 18:07:00,0.00405
2020-12-11 19:07:00,0.00409
2020-12-11 20:07:00,0.00439
2020-12-11 21:07:00,0.00466
2020-12-11 22:07:00,0.00496
2020-12-11 23:07:00,0.00512
2020-12-12 00:07:00,0.00533
2020-12-12 01:07:00,0.00551
2020-12-12 02:07:00,0.00556
2020-12-12 03:07:00,0.00563
2020-12-12 04:07:00,0.00566
2020-12-12 05:07:00,0.00582
2020-12-12 06:07:00,0.00589
2020-12-12 07:07:00,0.00583
2020-12-12 08:07:00,0.00593
2020-12-12 09:07:00,0.00596
2020-12-12 10:07:00,0.00524
2020-12-12 11:07:00,0.00514
2020-12-12 12:07:00,0.00502
2020-12-12 13:07:00,0.00484
2020-12-12 14:07:00,0.00524
2020-12-12 15:07:00,0.00518
2020-12-12 16:07:00,0.00518
2020-12-12 17:07:00,0.00422
2020-12-12 18:07:00,0.0042
2020-12-12 19:07:00,0.00427
2020-12-12 20:07:00,0.00456
2020-12-12 21:07:00,0.00474
2020-12-12 22:07:00,0.00506
2020-12-12 23:07:00,0.00513
2020-12-13 00:07:00,0.00539
2020-12-13 01:07:00,0.00558
2020-12-13 02:07:00,0.00579
2020-12-13 03:07:00,0.00597
2020-12-13 04:07:00,0.00601
2020-12-13 05:07:00,0.00622
2020-12-13 06:07:00,0.00625
2020-12-13 07:07:00,0.00631
2020-12-13 08:07:00,0.00626
2020-12-13 09:07:00,0.00629
2020-12-13 10:07:00,0.0055
2020-12-13 11:07:00,0.00551
2020-12-13 12:07:00,0.00543
2020-12-13 13:07:00,0.00569
2020-12-13 14:07:00,0.00584
2020-12-13 15:07:00,0.00595
2020-12-13 16:07:00,0.00593
2020-12-13 17:07:00,0.00464
2020-12-13 18:07:00,0.00427
2020-12-13 19:07:00,0.00419
2020-12-13 20:07:00,0.00448
2020-12-13 21:07:00,0.00474
2020-12-13 22:07:00,0.00502
2020-12-13 23:07:00,0.00521
