"TIME","Amm.kg/m^3"
2020-08-18 06:28:00,0.00225053
2020-08-18 07:28:00,0.00231723
2020-08-18 08:28:00,0.00215403
2020-08-18 09:28:00,0.00199796
2020-08-18 10:28:00,0.00186148
2020-08-18 11:28:00,0.00186469
2020-08-18 12:28:00,0.00152377
2020-08-18 13:28:00,0.00175781
2020-08-18 14:28:00,0.0018395
2020-08-18 15:28:00,0.00186608
2020-08-18 16:28:00,0.00212275
2020-08-18 17:28:00,0.00222704
2020-08-18 18:28:00,0.00233507
2020-08-18 19:28:00,0.00225631
2020-08-18 20:28:00,0.00230302
2020-08-18 21:28:00,0.00227295
2020-08-18 22:28:00,0.00217226
2020-08-18 23:28:00,0.00201472
2020-08-19 00:28:00,0.00171714
2020-08-19 01:28:00,0.00165452
2020-08-19 02:28:00,0.0014733
2020-08-19 03:28:00,0.0013817
2020-08-19 04:28:00,0.0013963
2020-08-19 05:28:00,0.00102746
2020-08-19 06:28:00,0.00119796
2020-08-19 07:28:00,0.0010326
2020-08-19 08:28:00,0.000903912
2020-08-19 09:28:00,0.00102308
2020-08-19 10:28:00,0.00113403
2020-08-19 11:28:00,0.00107416
2020-08-19 12:28:00,0.00123777
2020-08-19 13:28:00,0.00128712
2020-08-19 14:28:00,0.00144626
2020-08-19 15:28:00,0.0015125
2020-08-19 16:28:00,0.00196229
2020-08-19 17:28:00,0.00225256
2020-08-19 18:28:00,0.00255286
2020-08-19 19:28:00,0.00278373
2020-08-19 20:28:00,0.00290605
2020-08-19 21:28:00,0.00281597
2020-08-19 22:28:00,0.00279651
2020-08-19 23:28:00,0.00288374
2020-08-20 00:28:00,0.0027555
2020-08-20 01:28:00,0.00284537
2020-08-20 02:28:00,0.0026141
2020-08-20 03:28:00,0.00251402
2020-08-20 04:28:00,0.00240393
2020-08-20 05:28:00,0.0024031
2020-08-20 06:28:00,0.00232968
2020-08-20 07:28:00,0.00238003
2020-08-20 08:28:00,0.00234032
2020-08-20 09:28:00,0.00226688
2020-08-20 10:28:00,0.00186174
2020-08-20 11:28:00,0.00174387
2020-08-20 12:28:00,0.00191234
2020-08-20 13:28:00,0.0021118
2020-08-20 14:28:00,0.00222388
2020-08-20 15:28:00,0.0024612
2020-08-20 16:28:00,0.00291736
2020-08-20 17:28:00,0.00319701
2020-08-20 18:28:00,0.00324917
